DISTRICT,AREA_CLUSTER_OF_AREAS,TOTAL_NUMBER_OF_VENUES,TOTAL_NUMBER_OF_EGMS,TOTAL_GMP_NZD,DATE,INDEX
THAMES-COROMANDEL DISTRICT,Thames,7,82,862046.3,2013-09-01,8
THAMES-COROMANDEL DISTRICT,Whangamata,4,66,474774.58,2013-09-01,8
THAMES-COROMANDEL DISTRICT,Pauanui Beach/ Tairua,3,21,86606.33,2013-09-01,8
TIMARU DISTRICT,Timaru Gardens,5,72,982776.83,2013-09-01,8
TIMARU DISTRICT,Timaru,10,113,1208531.82,2013-09-01,8
TIMARU DISTRICT,Geraldine,4,32,246951.32999999996,2013-09-01,8
TIMARU DISTRICT,Temuka,5,51,353418.30999999994,2013-09-01,8
UPPER HUTT CITY,Heretaunga-Silverstream/ Trentham/ Upper Hutt Central,10,148,2347976.89,2013-09-01,8
WAIKATO DISTRICT,Ngaruwahia,4,50,352653.08999999997,2013-09-01,8
WAIKATO DISTRICT,Huntly,4,59,566067.58,2013-09-01,8
WAIKATO DISTRICT,Raglan/ Taupiri/ Whatawhata,4,50,282978.48,2013-09-01,8
WAIKATO DISTRICT,Maramarua/ Rangiriri/ Te Kauwhata,3,30,199268.87999999998,2013-09-01,8
WAIMAKARIRI DISTRICT,Kaiapoi,5,63,872095.46,2013-09-01,8
WAIMAKARIRI DISTRICT,Oxford/ Woodend,3,39,239629.08000000002,2013-09-01,8
WAIMAKARIRI DISTRICT,Rangiora,6,72,929140.45,2013-09-01,8
WAIMATE DISTRICT,Waimate,6,34,222315.78999999998,2013-09-01,8
WAIPA DISTRICT,Kihikihi/ Pirongia/ Te Awamutu,8,115,1142089.96,2013-09-01,8
WAIPA DISTRICT,Cambridge,6,95,829289.02,2013-09-01,8
WAIROA DISTRICT,Mahia Beach/ Wairoa,4,58,606355.22,2013-09-01,8
WAITAKERE CITY,New Lynn,7,83,1203137.34,2013-09-01,8
WAITAKERE CITY,Henderson,10,162,3210014.28,2013-09-01,8
WAITAKERE CITY,Glen Eden,5,56,977410.81,2013-09-01,8
WAITAKERE CITY,Kelston/ Titirangi,3,46,962229.3,2013-09-01,8
WAITAKERE CITY,Te Atatu,3,35,488582.52,2013-09-01,8
WAITAKI DISTRICT,Oamaru,5,77,751561.33,2013-09-01,8
WAITAKI DISTRICT,Kurow/ Omarama/ Otematata,7,38,174691.29000000004,2013-09-01,8
WAITOMO DISTRICT,Awakino/ Piopio/ Te Kuiti,7,83,598878.3,2013-09-01,8
