TA,AREA_CLUSTER_OF_AREAS,TOTAL_NUMBER_OF_VENUES,TOTAL_NUMBER_OF_EGMS,TOTAL_GMP_NZD,DATE,INDEX
christchurch city,North New Brighton/ Parklands/ Waimari Beach,4,63,1061584.97,2012-09-01,7
christchurch city,Sydenham,5,57,600031.02,2012-09-01,7
christchurch city,St Albans,3,54,676641.25,2012-09-01,7
christchurch city,Hornby,4,72,1031477.57,2012-09-01,7
christchurch city,Bishopdale,3,54,1459338.77,2012-09-01,7
christchurch city,Philipstown,3,44,713092.57,2012-09-01,7
christchurch city,Islington/ Templeton/ West Melton/ Yaldhurst,4,54,857320.05,2012-09-01,7
christchurch city,Shirley,5,76,1012349.0900000001,2012-09-01,7
christchurch city,Lyttleton,4,29,161075.02000000002,2012-09-01,7
christchurch city,Linwood,4,55,898632.76,2012-09-01,7
christchurch city,Woolston,3,54,1110997.29,2012-09-01,7
christchurch city,Papanui,3,36,679530.17,2012-09-01,7
clutha district,Kaitangata/ Milton/ Owaka,4,28,149498.59,2012-09-01,7
clutha district,Clinton/ Heriot/ Lawrence/ Tapanui,4,13,55136.42,2012-09-01,7
clutha district,Balclutha,4,38,339314.39,2012-09-01,7
dunedin city,Green Island,3,35,283349.25,2012-09-01,7
dunedin city,Dunedin Central,11,158,1397544.1,2012-09-01,7
dunedin city,Kaikorai/ North East Valley/ Normanby,5,52,467206.17999999993,2012-09-01,7
dunedin city,Caversham/ Kensington,3,39,323930.08999999997,2012-09-01,7
dunedin city,Concord/ Kew/ Mornington,3,45,448430.69999999995,2012-09-01,7
dunedin city,Mosgiel,5,63,605922.78,2012-09-01,7
dunedin city,St Kilda,4,51,456095.1,2012-09-01,7
far north district,Awanui/ Herekino/ Rawene/ Opononi/ Waipapakauri,5,43,257754.65000000002,2012-09-01,7
far north district,Kaitaia,4,63,887856.8400000001,2012-09-01,7
far north district,Cooper’s Beach/ Maungonui/ Taipa Bay,3,37,213239.13,2012-09-01,7
far north district,Paihia,5,69,680728.8200000001,2012-09-01,7
far north district,Kaikohe,4,56,661481.4,2012-09-01,7
franklin district,Kaiaua/ Mercer,3,30,252613.24000000002,2012-09-01,7
franklin district,Pukekohe,12,169,2105631.84,2012-09-01,7
franklin district,Clarks Beach/ Patumahoe,3,44,328337.75,2012-09-01,7
gisborne district,Gisborne Central/ Kaiti/ Ruatoria/ Tokomaru Bay,14,210,2445407.3,2012-09-01,7
gore district,Gore/ Mataura,7,85,748421.19,2012-09-01,7
grey district,Ahaura/ Dobson/ Paroa/ Taylorville,4,12,51615.03999999999,2012-09-01,7
grey district,Greymouth,7,90,875000.8700000001,2012-09-01,7
grey district,Cobden/ Rapahoe/ Runanga,4,16,87249.3,2012-09-01,7
hamilton city,Claudelands,3,45,540514.02,2012-09-01,7
hamilton city,Frankton,4,57,675854.35,2012-09-01,7
hamilton city,Hamilton Central,15,220,2713271.52,2012-09-01,7
hamilton city,Dinsdale/ Hillcrest/ Pukete,3,45,585387.0700000001,2012-09-01,7
hamilton city,Glenview/ hamilton East,3,41,442936.21,2012-09-01,7
hamilton city,Nawton/ Te Rapa,3,54,870444.8299999998,2012-09-01,7
hastings district,Hastings Central,17,247,3015818.7800000003,2012-09-01,7
