TA,AREA_CLUSTER_OF_AREAS,TOTAL_NUMBER_OF_VENUES,TOTAL_NUMBER_OF_EGMS,TOTAL_GMP_NZD,DATE,INDEX
christchurch city,Hornby,4,72,1149201.22,2014-09-01,24
christchurch city,Bishopdale,3,54,1500084.24,2014-09-01,24
christchurch city,Islington/ Templeton/ West Melton/ Yaldhurst,4,54,865426.69,2014-09-01,24
christchurch city,Shirley,5,76,1224142.8199999998,2014-09-01,24
christchurch city,Lyttleton,4,29,133206.95,2014-09-01,24
christchurch city,Woolston,3,54,995610.5199999999,2014-09-01,24
christchurch city,Beckenham/ Cashmere/ Ferrymead/ Hilsborough/ Huntsbury/ Opawa/ Sumner,6,91,1353116.65,2014-09-01,24
christchurch city,Avonhead/ Sockburn/ Upper Riccarton,4,72,1725953.22,2015-09-01,24
christchurch city,Barrington/ Hillmorton/ Hoon Hay/ Spreydon,4,49,734488.74,2015-09-01,24
christchurch city,Addington/ Middleton/ Waltham,3,44,567355.58,2015-09-01,24
christchurch city,Aranui/ Bromley/ Richmond/ Wainoni,4,72,965808.3200000001,2015-09-01,24
christchurch city,Halswell,3,45,631077.5700000001,2015-09-01,24
christchurch city,Riccarton,6,95,1370618.3000000003,2015-09-01,24
christchurch city,Sydenham,3,54,515112.57999999996,2015-09-01,24
christchurch city,Hornby,4,72,1067686.85,2015-09-01,24
christchurch city,Bishopdale,3,54,1481596.6400000001,2015-09-01,24
christchurch city,Islington/ Templeton/ West Melton/ Yaldhurst,3,54,806917.63,2015-09-01,24
christchurch city,Shirley,5,76,1118027.22,2015-09-01,24
christchurch city,Lyttleton,4,29,156655.8,2015-09-01,24
christchurch city,Woolston,3,54,1067039.83,2015-09-01,24
christchurch city,Beckenham/ Cashmere/ Ferrymead/ Hilsborough/ Huntsbury/ Opawa/ Sumner,6,91,1226266.33,2015-09-01,24
christchurch city,Avonhead/ Sockburn/ Upper Riccarton,4,72,1736740.94,2016-09-01,24
christchurch city,Barrington/ Hillmorton/ Hoon Hay/ Spreydon,4,49,743579.8900000001,2016-09-01,24
christchurch city,Addington/ Middleton/ Waltham,3,44,500281.05000000005,2016-09-01,24
christchurch city,Aranui/ Bromley/ Richmond/ Wainoni,4,72,1081621.91,2016-09-01,24
christchurch city,Halswell,3,45,608113.28,2016-09-01,24
christchurch city,Riccarton,5,72,763004.75,2016-09-01,24
christchurch city,Sydenham,3,54,517476.91,2016-09-01,24
christchurch city,Hornby,4,72,1107026.6,2016-09-01,24
christchurch city,Bishopdale,3,54,1393084.88,2016-09-01,24
christchurch city,Islington/ Templeton/ West Melton/ Yaldhurst,3,54,841309.65,2016-09-01,24
christchurch city,Shirley,5,74,1052254.58,2016-09-01,24
christchurch city,Lyttleton,4,35,159398.3,2016-09-01,24
christchurch city,Woolston,3,54,930973.26,2016-09-01,24
christchurch city,Beckenham/ Cashmere/ Ferrymead/ Hilsborough/ Huntsbury/ Opawa/ Sumner,6,91,1215831.94,2016-09-01,24
christchurch city,Avonhead/ Sockburn/ Upper Riccarton,4,72,1808140.2200000002,2017-09-01,24
christchurch city,Barrington/ Hillmorton/ Hoon Hay/ Spreydon,3,42,806775.44,2017-09-01,24
christchurch city,Addington/ Middleton/ Waltham,3,44,453878.08999999973,2017-09-01,24
christchurch city,Aranui/ Bromley/ Richmond/ Wainoni,4,72,1108165.9900000002,2017-09-01,24
christchurch city,Halswell,3,45,652853.3200000001,2017-09-01,24
christchurch city,Riccarton,6,86,960947.6300000001,2017-09-01,24
christchurch city,Sydenham,3,54,498670.7,2017-09-01,24
christchurch city,Hornby,4,72,1010372.2899999999,2017-09-01,24
christchurch city,Bishopdale,3,54,1504335.65,2017-09-01,24
christchurch city,Islington/ Templeton/ West Melton/ Yaldhurst,4,63,845216.0199999999,2017-09-01,24
christchurch city,Shirley,5,74,1101366.51,2017-09-01,24
christchurch city,Lyttleton,3,34,138599.3099999999,2017-09-01,24
christchurch city,Woolston,3,54,932933.3499999999,2017-09-01,24
christchurch city,Beckenham/ Cashmere/ Ferrymead/ Hilsborough/ Huntsbury/ Opawa/ Sumner,6,91,1162552.2,2017-09-01,24
invercargill city,Invercargill Central / Hawthorndale/ Makarewa/ Waikiwi,13,154,1850534.9800000002,2014-12-01,23
lower hutt city,Naenae / Taita,7,83,1061716.72,2014-12-01,23
otorohanga district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,2,23,224119.69,2014-12-01,23
waikato district,Pukekohe/Kaiaua/Mercer,5,50,599613.96,2014-12-01,23
invercargill city,Invercargill Central / Hawthorndale/ Makarewa/ Waikiwi,11,144,1959830.27,2015-12-01,23
lower hutt city,Naenae / Taita,7,83,1032305.3599999999,2015-12-01,23
otorohanga district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,2,23,196164.41999999998,2015-12-01,23
waikato district,Pukekohe/Kaiaua/Mercer,5,50,608908.9,2015-12-01,23
invercargill city,Invercargill Central / Hawthorndale/ Makarewa/ Waikiwi,10,137,1982282.19,2016-12-01,23
lower hutt city,Naenae / Taita,6,75,1159820.76,2016-12-01,23
otorohanga district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,2,23,236935.8499999998,2016-12-01,23
waikato district,Pukekohe/Kaiaua/Mercer,5,68,684607.0699999998,2016-12-01,23
invercargill city,Invercargill Central / Hawthorndale/ Makarewa/ Waikiwi,9,132,2071756.5999999999,2017-12-01,23
lower hutt city,Naenae / Taita,5,75,1276563.4300000002,2017-12-01,23
otorohanga district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,2,23,226618.08000000002,2017-12-01,23
waikato district,Pukekohe/Kaiaua/Mercer,5,68,778297.12,2017-12-01,23
invercargill city,Invercargill Central / Hawthorndale/ Makarewa/ Waikiwi,9,130,1956922.5999999999,2018-12-01,23
lower hutt city,Naenae / Taita,5,75,1337547.04,2018-12-01,23
otorohanga district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,2,23,269764.30999999976,2018-12-01,23
waikato district,Pukekohe/Kaiaua/Mercer,5,68,773980.1699999999,2018-12-01,23
invercargill city,Invercargill Central / Hawthorndale/ Makarewa/ Waikiwi,9,130,1920036.1600000001,2019-12-01,23
lower hutt city,Naenae / Taita,5,75,1415104.2,2019-12-01,23
otorohanga district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,2,23,241793.74000000022,2019-12-01,23
waikato district,Pukekohe/Kaiaua/Mercer,4,59,821508.8900000001,2019-12-01,23
invercargill city,Invercargill Central / Hawthorndale/ Makarewa/ Waikiwi,12,146,1939637.71,2014-06-01,23
lower hutt city,Naenae / Taita,7,83,994069.3300000001,2014-06-01,23
otorohanga district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,2,23,214480.71,2014-06-01,23
waikato district,Pukekohe/Kaiaua/Mercer,4,57,621908.7000000001,2014-06-01,23
invercargill city,Invercargill Central / Hawthorndale/ Makarewa/ Waikiwi,12,150,1980192.8399999999,2015-06-01,23
lower hutt city,Naenae / Taita,7,83,997803.7699999999,2015-06-01,23
otorohanga district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,2,23,208414.59,2015-06-01,23
waikato district,Pukekohe/Kaiaua/Mercer,5,50,605150.5899999999,2015-06-01,23
invercargill city,Invercargill Central / Hawthorndale/ Makarewa/ Waikiwi,11,146,2018904.2299999997,2016-06-01,23
lower hutt city,Naenae / Taita,7,82,1109849.14,2016-06-01,23
otorohanga district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,2,23,214658.18,2016-06-01,23
waikato district,Pukekohe/Kaiaua/Mercer,5,68,581738.1799999999,2016-06-01,23
invercargill city,Invercargill Central / Hawthorndale/ Makarewa/ Waikiwi,9,132,1987395.7099999997,2017-06-01,23
lower hutt city,Naenae / Taita,5,75,1163042.4000000001,2017-06-01,23
otorohanga district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,2,23,242765.59999999998,2017-06-01,23
waikato district,Pukekohe/Kaiaua/Mercer,5,68,737925.9999999999,2017-06-01,23
invercargill city,Invercargill Central / Hawthorndale/ Makarewa/ Waikiwi,9,132,2015624.4100000001,2018-06-01,23
lower hutt city,Naenae / Taita,5,75,1341371.54,2018-06-01,23
otorohanga district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,2,23,241933.83,2018-06-01,23
waikato district,Pukekohe/Kaiaua/Mercer,5,68,765024.4000000001,2018-06-01,23
invercargill city,Invercargill Central / Hawthorndale/ Makarewa/ Waikiwi,9,130,1943651.7300000004,2019-06-01,23
lower hutt city,Naenae / Taita,5,75,1319576.8399999999,2019-06-01,23
otorohanga district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,2,23,238685.94999999998,2019-06-01,23
waikato district,Pukekohe/Kaiaua/Mercer,5,68,782438.9,2019-06-01,23
invercargill city,Invercargill Central / Hawthorndale/ Makarewa/ Waikiwi,13,152,1748443.0100000002,2015-03-01,23
lower hutt city,Naenae / Taita,7,83,913807.82,2015-03-01,23
otorohanga district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,2,23,202682.99,2015-03-01,23
waikato district,Pukekohe/Kaiaua/Mercer,5,50,551103.21,2015-03-01,23
invercargill city,Invercargill Central / Hawthorndale/ Makarewa/ Waikiwi,11,144,1908888.5699999998,2016-03-01,23
lower hutt city,Naenae / Taita,7,82,990900.4800000001,2016-03-01,23
otorohanga district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,2,23,218741.75,2016-03-01,23
waikato district,Pukekohe/Kaiaua/Mercer,5,50,519253.02,2016-03-01,23
invercargill city,Invercargill Central / Hawthorndale/ Makarewa/ Waikiwi,9,132,1895542.97,2017-03-01,23
lower hutt city,Naenae / Taita,6,75,1085850.3900000001,2017-03-01,23
otorohanga district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,2,23,215543.55,2017-03-01,23
waikato district,Pukekohe/Kaiaua/Mercer,5,68,675627.1200000002,2017-03-01,23
invercargill city,Invercargill Central / Hawthorndale/ Makarewa/ Waikiwi,9,132,1879986.05,2018-03-01,23
lower hutt city,Naenae / Taita,5,75,1154456.8900000001,2018-03-01,23
otorohanga district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,2,23,247866.8000000001,2018-03-01,23
waikato district,Pukekohe/Kaiaua/Mercer,5,68,735943.0200000001,2018-03-01,23
invercargill city,Invercargill Central / Hawthorndale/ Makarewa/ Waikiwi,9,130,1923305.49,2019-03-01,23
lower hutt city,Naenae / Taita,5,75,1260943.81,2019-03-01,23
otorohanga district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,2,23,253204.3800000003,2019-03-01,23
waikato district,Pukekohe/Kaiaua/Mercer,5,68,754330.4799999999,2019-03-01,23
invercargill city,Invercargill Central / Hawthorndale/ Makarewa/ Waikiwi,13,154,1847638.6699999997,2014-09-01,23
lower hutt city,Naenae / Taita,7,83,1083912.13,2014-09-01,23
otorohanga district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,2,23,216958.34,2014-09-01,23
waikato district,Pukekohe/Kaiaua/Mercer,5,50,542120.27,2014-09-01,23
invercargill city,Invercargill Central / Hawthorndale/ Makarewa/ Waikiwi,12,150,1936500.42,2015-09-01,23
lower hutt city,Naenae / Taita,7,83,1106273.19,2015-09-01,23
otorohanga district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,2,23,210212.87,2015-09-01,23
waikato district,Pukekohe/Kaiaua/Mercer,5,50,612967.2000000001,2015-09-01,23
invercargill city,Invercargill Central / Hawthorndale/ Makarewa/ Waikiwi,11,144,1987073.33,2016-09-01,23
lower hutt city,Naenae / Taita,7,82,1079529.3300000003,2016-09-01,23
otorohanga district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,2,23,218567.84000000003,2016-09-01,23
waikato district,Pukekohe/Kaiaua/Mercer,5,68,653241.5800000001,2016-09-01,23
invercargill city,Invercargill Central / Hawthorndale/ Makarewa/ Waikiwi,9,132,2014128.89,2017-09-01,23
lower hutt city,Naenae / Taita,5,75,1233507.61,2017-09-01,23
otorohanga district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,2,23,196959.51000000013,2017-09-01,23
waikato district,Pukekohe/Kaiaua/Mercer,5,68,791655.8799999999,2017-09-01,23
invercargill city,Invercargill Central / Hawthorndale/ Makarewa/ Waikiwi,9,132,2056474.4699999995,2018-09-01,23
lower hutt city,Naenae / Taita,5,75,1379195.54,2018-09-01,23
otorohanga district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,2,23,277687.0000000001,2018-09-01,23
waikato district,Pukekohe/Kaiaua/Mercer,5,68,760989.3400000002,2018-09-01,23
invercargill city,Invercargill Central / Hawthorndale/ Makarewa/ Waikiwi,9,130,1857016.7200000002,2019-09-01,23
lower hutt city,Naenae / Taita,5,75,1437919.58,2019-09-01,23
otorohanga district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,2,23,243438.36000000002,2019-09-01,23
waikato district,Pukekohe/Kaiaua/Mercer,4,59,817671.2300000001,2019-09-01,23
christchurch city,St Albans,3,54,662484.89,2011-12-01,22
christchurch city,Papanui,3,36,660372.96,2011-12-01,22
christchurch city,St Albans,3,54,662262.8,2013-12-01,22
christchurch city,Papanui,3,36,670402.2799999999,2013-12-01,22
auckland,Mt Roskill/ Sandringham/ Three Kings/Royal Oak,5,78,1344831.3499999999,2014-12-01,22
auckland,Clarks Beach/ Patumahoe,3,44,315237.86,2014-12-01,22
auckland,Pukekohe/Kaiaua/Mercer,11,161,2050655.95,2014-12-01,22
auckland,Howick,9,144,1898621.1600000001,2014-12-01,22
auckland,Highland Park/ Beachlands-Maretai/ Whitford,3,45,818663.57,2014-12-01,22
auckland,Papatoetoe,7,98,1965586.58,2014-12-01,22
auckland,Manurewa,11,162,3359809.97,2014-12-01,22
auckland,Manukau City,14,198,4320458.91,2014-12-01,22
auckland,Clendon/ Mangere East/ Wiri,3,41,1008599.86,2014-12-01,22
auckland,Otara,3,54,879171.1199999999,2014-12-01,22
auckland,Pakuranga,4,62,1267108.09,2014-12-01,22
auckland,East Tamaki/ Flat Bush,3,36,867028.6599999999,2014-12-01,22
auckland,Albany,8,108,1585247.19,2014-12-01,22
auckland,Browns Bay,6,89,781977.79,2014-12-01,22
auckland,Greenhithe/ Northcote,3,45,514963.78,2014-12-01,22
auckland,Takapuna Central,6,90,1346695.8,2014-12-01,22
auckland,Birkenhead,4,40,502670.33999999997,2014-12-01,22
auckland,Glenfield / Mairangi Bay/ North Harbour,9,128,2453433.62,2014-12-01,22
auckland,Drury/ Papakura/ Takanini,13,216,3293064.1700000004,2014-12-01,22
auckland,Orewa,5,71,1006156.0999999999,2014-12-01,22
auckland,Snell’s Beach/ Wellsford,3,33,321549.82,2014-12-01,22
auckland,Warkworth,3,41,361708.27,2014-12-01,22
auckland,Gulf Harbour/ Red Beach/ Silverdale/ Stanmore Bay/ Whangaparoa,7,96,1065113.25,2014-12-01,22
auckland,Helensville/ Kaukapakapa/ Parakai/ Huapai/ Kumeu/ Riverhead,5,65,574892.14,2014-12-01,22
auckland,New Lynn,6,65,1099002.7100000002,2014-12-01,22
auckland,Henderson,10,162,3430784.88,2014-12-01,22
auckland,Te Atatu,3,35,496088.65,2014-12-01,22
auckland,Hobsonville/Massey/ Swanson/ Waitakere/West Harbour,6,88,1450994.79,2014-12-01,22
auckland,Glen Eden/ Kelston/ Titirangi,7,84,2028021.5700000003,2014-12-01,22
christchurch city,St Albans,3,54,797580.92,2014-12-01,22
christchurch city,Papanui,3,36,668631.11,2014-12-01,22
dunedin city,Andersons Bay/South Dunedin/ Caversham/ Kensington,5,66,705729.22,2014-12-01,22
auckland,Clarks Beach/ Patumahoe,3,44,361180.18,2015-12-01,22
auckland,Howick,9,144,1888468.91,2015-12-01,22
auckland,Highland Park/ Beachlands-Maretai/ Whitford,3,45,834074.5700000001,2015-12-01,22
auckland,Papatoetoe,7,98,1999781.8900000001,2015-12-01,22
auckland,Manurewa,11,162,3406362.94,2015-12-01,22
auckland,Manukau City,14,198,4981727.7700000005,2015-12-01,22
auckland,Clendon/ Mangere East/ Wiri,3,41,1084013.0699999998,2015-12-01,22
auckland,Otara,3,54,824341.55,2015-12-01,22
auckland,Pakuranga,4,62,1409706.07,2015-12-01,22
auckland,East Tamaki/ Flat Bush,3,36,803804.8999999999,2015-12-01,22
auckland,Albany,8,108,1680619.57,2015-12-01,22
auckland,Browns Bay,5,72,752481.45,2015-12-01,22
auckland,Greenhithe/ Northcote,3,45,519460.59,2015-12-01,22
auckland,Takapuna Central,6,90,1354724.04,2015-12-01,22
auckland,Birkenhead,4,40,478288.38,2015-12-01,22
auckland,Drury/ Papakura/ Takanini,13,216,3644879.4699999997,2015-12-01,22
auckland,Orewa,5,71,1015751.6799999999,2015-12-01,22
auckland,Snell’s Beach/ Wellsford,3,33,353465.76,2015-12-01,22
auckland,Warkworth,3,41,424073.76,2015-12-01,22
auckland,New Lynn,6,65,1200959.02,2015-12-01,22
auckland,Henderson,10,162,3481569.42,2015-12-01,22
auckland,Te Atatu,3,35,462352.24,2015-12-01,22
auckland,Gulf Harbour/ Red Beach/ Silverdale/ Stanmore Bay/ Whangaparoa,7,92,1069687.2600000002,2015-12-01,22
auckland,Hobsonville/Massey/ Swanson/ Waitakere/West Harbour,6,88,1621583.28,2015-12-01,22
auckland,Glenfield / Mairangi Bay/ North Harbour,9,144,3097502.56,2015-12-01,22
auckland,Pukekohe/Kaiaua/Mercer,11,161,2195117.3200000003,2015-12-01,22
auckland,Glen Eden/ Kelston/ Titirangi,8,102,1910384.89,2015-12-01,22
auckland,Mt Roskill/ Sandringham/ Three Kings/Royal Oak,5,74,1394889.93,2015-12-01,22
auckland,Helensville/ Kaukapakapa/ Parakai/ Huapai/ Kumeu/ Riverhead,5,65,727198.28,2015-12-01,22
christchurch city,St Albans,3,54,684099.58,2015-12-01,22
christchurch city,Papanui,3,36,587818.47,2015-12-01,22
dunedin city,Andersons Bay/South Dunedin/ Caversham/ Kensington,5,63,645222.1699999999,2015-12-01,22
auckland,Clarks Beach/ Patumahoe,3,44,331496.1199999999,2016-12-01,22
auckland,Howick,9,135,1978128.5999999999,2016-12-01,22
auckland,Highland Park/ Beachlands-Maretai/ Whitford,3,45,946031.3400000002,2016-12-01,22
auckland,Papatoetoe,7,98,2028427.55,2016-12-01,22
auckland,Manurewa,11,162,3545570.6600000006,2016-12-01,22
auckland,Manukau City,14,198,5275296.500000001,2016-12-01,22
auckland,Clendon/ Mangere East/ Wiri,3,41,1078059.06,2016-12-01,22
auckland,Otara,3,54,906953.2699999998,2016-12-01,22
auckland,Pakuranga,4,62,1718688.71,2016-12-01,22
auckland,East Tamaki/ Flat Bush,3,36,801769.71,2016-12-01,22
auckland,Albany,7,99,1755640.06,2016-12-01,22
auckland,Browns Bay,4,62,655901.0400000002,2016-12-01,22
auckland,Greenhithe/ Northcote,3,45,540348.4000000001,2016-12-01,22
auckland,Takapuna Central,6,90,1322419.06,2016-12-01,22
auckland,Birkenhead,4,40,536973.2700000001,2016-12-01,22
auckland,Drury/ Papakura/ Takanini,13,216,3816212.54,2016-12-01,22
auckland,Orewa,5,71,1090015.8199999998,2016-12-01,22
auckland,Snell’s Beach/ Wellsford,3,33,402007.58999999997,2016-12-01,22
auckland,Warkworth,3,41,368675.5400000001,2016-12-01,22
auckland,New Lynn,6,65,1286227.71,2016-12-01,22
auckland,Henderson,10,162,3831214.6100000003,2016-12-01,22
auckland,Te Atatu,3,35,454779.29000000015,2016-12-01,22
auckland,Gulf Harbour/ Red Beach/ Silverdale/ Stanmore Bay/ Whangaparoa,7,92,1120616.2900000003,2016-12-01,22
auckland,Hobsonville/Massey/ Swanson/ Waitakere/West Harbour,6,88,1650222.2100000002,2016-12-01,22
auckland,Glenfield / Mairangi Bay/ North Harbour,9,144,3509170.9600000004,2016-12-01,22
auckland,Pukekohe/Kaiaua/Mercer,11,161,2284660.3699999996,2016-12-01,22
auckland,Glen Eden/ Kelston/ Titirangi,8,102,2343474.8099999996,2016-12-01,22
auckland,Mt Roskill/ Sandringham/ Three Kings/Royal Oak,5,78,1614019.46,2016-12-01,22
auckland,Helensville/ Kaukapakapa/ Parakai/ Huapai/ Kumeu/ Riverhead,4,60,785686.3600000001,2016-12-01,22
christchurch city,St Albans,3,54,644294.8300000001,2016-12-01,22
christchurch city,Papanui,3,36,537371.61,2016-12-01,22
dunedin city,Andersons Bay/South Dunedin/ Caversham/ Kensington,5,63,786116.9600000001,2016-12-01,22
auckland,Clarks Beach/ Patumahoe,3,44,315047.51,2017-12-01,22
auckland,Howick,8,122,1846275.6099999999,2017-12-01,22
auckland,Highland Park/ Beachlands-Maretai/ Whitford,3,45,1162634.2400000002,2017-12-01,22
auckland,Papatoetoe,6,92,2226750.0300000003,2017-12-01,22
auckland,Manurewa,11,161,3925661.7399999998,2017-12-01,22
auckland,Manukau City,14,181,5094646.07,2017-12-01,22
auckland,Clendon/ Mangere East/ Wiri,3,41,1129059.95,2017-12-01,22
auckland,Otara,3,54,963013.2500000002,2017-12-01,22
auckland,Pakuranga,4,62,1866498.32,2017-12-01,22
auckland,East Tamaki/ Flat Bush,3,36,795061.0700000001,2017-12-01,22
auckland,Albany,7,99,1736258.51,2017-12-01,22
auckland,Browns Bay,5,72,719851.1,2017-12-01,22
auckland,Greenhithe/ Northcote,3,36,466762.0099999998,2017-12-01,22
auckland,Takapuna Central,6,90,1524792.4500000002,2017-12-01,22
auckland,Birkenhead,4,40,560481.4199999999,2017-12-01,22
auckland,Drury/ Papakura/ Takanini,12,198,3601938.77,2017-12-01,22
auckland,Orewa,5,71,1110116.67,2017-12-01,22
auckland,Snell’s Beach/ Wellsford,3,33,341984.6799999999,2017-12-01,22
auckland,Warkworth,3,41,374781.2400000003,2017-12-01,22
auckland,New Lynn,5,60,1159838.97,2017-12-01,22
auckland,Henderson,9,144,3827570.2399999998,2017-12-01,22
auckland,Te Atatu,3,35,454093.7300000001,2017-12-01,22
auckland,Gulf Harbour/ Red Beach/ Silverdale/ Stanmore Bay/ Whangaparoa,7,92,1038686.4499999996,2017-12-01,22
auckland,Hobsonville/Massey/ Swanson/ Waitakere/West Harbour,5,70,1444249.78,2017-12-01,22
auckland,Glenfield / Mairangi Bay/ North Harbour,9,144,3623242.3600000003,2017-12-01,22
auckland,Pukekohe/Kaiaua/Mercer,11,161,2476550.2399999998,2017-12-01,22
auckland,Glen Eden/ Kelston/ Titirangi,8,102,2594584.94,2017-12-01,22
auckland,Mt Roskill/ Sandringham/ Three Kings/Royal Oak,5,72,1661457.52,2017-12-01,22
auckland,Helensville/ Kaukapakapa/ Parakai/ Huapai/ Kumeu/ Riverhead,4,60,778466.8999999999,2017-12-01,22
dunedin city,Andersons Bay/South Dunedin/ Caversham/ Kensington,5,63,771626.0500000003,2017-12-01,22
auckland,Albany,7,99,1958299.7499999998,2018-12-01,22
auckland,Birkenhead,4,40,546318.5400000005,2018-12-01,22
auckland,Browns Bay,5,64,714668.7000000002,2018-12-01,22
auckland,Clarks Beach/ Patumahoe,3,44,317523.9400000003,2018-12-01,22
auckland,Clendon/ Mangere East/ Wiri,3,41,1245600.04,2018-12-01,22
auckland,Drury/ Papakura/ Takanini,12,198,3591260.1299999994,2018-12-01,22
auckland,East Tamaki/ Flat Bush,3,30,807701.6900000002,2018-12-01,22
auckland,Glen Eden/ Kelston/ Titirangi,7,84,2506969.7600000002,2018-12-01,22
auckland,Glenfield / Mairangi Bay/ North Harbour,9,126,3528410.43,2018-12-01,22
auckland,Greenhithe/ Northcote,3,36,458880.24,2018-12-01,22
auckland,Gulf Harbour/ Red Beach/ Silverdale/ Stanmore Bay/ Whangaparoa,7,96,1203093.77,2018-12-01,22
auckland,Helensville/ Kaukapakapa/ Parakai/ Huapai/ Kumeu/ Riverhead,4,60,791931.81,2018-12-01,22
auckland,Henderson,9,144,4046404.54,2018-12-01,22
auckland,Highland Park/ Beachlands-Maretai/ Whitford,3,45,1300763.24,2018-12-01,22
auckland,Hobsonville/Massey/ Swanson/ Waitakere/West Harbour,5,70,1539346.1999999997,2018-12-01,22
auckland,Howick,8,111,1747109.48,2018-12-01,22
auckland,Manukau City,14,198,5356036.100000001,2018-12-01,22
auckland,Manurewa,10,144,4200013.4,2018-12-01,22
auckland,Mt Roskill/ Sandringham/ Three Kings/Royal Oak,4,72,1078390.13,2018-12-01,22
auckland,New Lynn,5,60,1293200.3199999998,2018-12-01,22
auckland,Orewa,4,53,1069943.2399999998,2018-12-01,22
auckland,Otara,3,54,1058270.5800000003,2018-12-01,22
auckland,Pakuranga,4,62,2101927.39,2018-12-01,22
auckland,Papatoetoe,6,92,2464924.45,2018-12-01,22
auckland,Pukekohe/Kaiaua/Mercer,11,143,2202040.9299999997,2018-12-01,22
auckland,Snell’s Beach/ Wellsford,3,33,442148.4700000002,2018-12-01,22
auckland,Takapuna Central,5,81,1481919.0099999998,2018-12-01,22
auckland,Te Atatu,2,32,470764.31,2018-12-01,22
auckland,Warkworth,3,41,358374.58000000013,2018-12-01,22
dunedin city,Andersons Bay/South Dunedin/ Caversham/ Kensington,5,63,794864.52,2018-12-01,22
auckland,Albany,7,99,1986862.72,2019-12-01,22
auckland,Birkenhead,4,40,555997.23,2019-12-01,22
auckland,Browns Bay,3,46,743045.05,2019-12-01,22
auckland,Clarks Beach/ Patumahoe,3,44,316169.86,2019-12-01,22
auckland,Clendon/ Mangere East/ Wiri,3,41,1240695.5899999999,2019-12-01,22
auckland,Drury/ Papakura/ Takanini,11,180,3851033.2199999997,2019-12-01,22
auckland,East Tamaki/ Flat Bush,2,18,528401.3500000001,2019-12-01,22
auckland,Glen Eden/ Kelston/ Titirangi,7,84,2133783.68,2019-12-01,22
auckland,Glenfield / Mairangi Bay/ North Harbour,8,126,3901195.07,2019-12-01,22
auckland,Greenhithe/ Northcote,2,27,314755.93999999994,2019-12-01,22
auckland,Gulf Harbour/ Red Beach/ Silverdale/ Stanmore Bay/ Whangaparoa,7,96,1271760.4700000002,2019-12-01,22
auckland,Helensville/ Kaukapakapa/ Parakai/ Huapai/ Kumeu/ Riverhead,4,60,895693.1300000004,2019-12-01,22
auckland,Henderson,9,144,4051245.0800000005,2019-12-01,22
auckland,Highland Park/ Beachlands-Maretai/ Whitford,3,43,1249227.999999999,2019-12-01,22
auckland,Hobsonville/Massey/ Swanson/ Waitakere/West Harbour,4,61,1409616.3900000001,2019-12-01,22
auckland,Howick,9,120,1802860.44,2019-12-01,22
auckland,Manukau City,12,180,5350804.67,2019-12-01,22
auckland,Manurewa,9,126,4031875.7399999998,2019-12-01,22
auckland,Mt Roskill/ Sandringham/ Three Kings/Royal Oak,4,68,1113479.38,2019-12-01,22
auckland,New Lynn,5,60,1306866.1200000003,2019-12-01,22
auckland,Orewa,4,53,1049873.14,2019-12-01,22
auckland,Otara,3,54,1239580.9,2019-12-01,22
auckland,Pakuranga,4,62,2031907.8900000008,2019-12-01,22
auckland,Papatoetoe,6,92,2281757.12,2019-12-01,22
auckland,Pukekohe/Kaiaua/Mercer,11,161,2525445.4100000006,2019-12-01,22
auckland,Snell’s Beach/ Wellsford,3,33,441958.54000000004,2019-12-01,22
auckland,Takapuna Central,5,81,1778796.8199999998,2019-12-01,22
auckland,Te Atatu,2,32,434174.7499999999,2019-12-01,22
auckland,Warkworth,3,41,325378.23,2019-12-01,22
dunedin city,Andersons Bay/South Dunedin/ Caversham/ Kensington,5,63,838997.3700000001,2019-12-01,22
christchurch city,St Albans,3,54,642244.2,2012-06-01,22
