SOCIETY_NAME,VENUE_NAME,VENUE_PHYSICAL_ADDRESS,TERRITORIAL_AUTHORITY,COUNT_OF_EGM
PUB CHARITY LIMITED,BICKERTONS BAR,"307 PAGES ROAD
ARANUI
CHRISTCHURCH 8007",CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,18
Racing Industry Transition Agency ,TAB SHIRLEY,"122 MARSHLAND ROAD
SHIRLEY
CHRISTCHURCH 8001",CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,18
RICHMOND WORKINGMEN'S CLUB & MSA,RICHMOND WMC & MSA,"75 LONDON STREET
RICHMOND
CHRISTCHURCH 8013
NEW ZEALAND",CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,18
THE LION FOUNDATION (2008),GLENBYRE TAVERN,"111 KEIGHLEYS ROAD
BROMLEY
CHRISTCHURCH 8006",CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,18
THE LION FOUNDATION (2008),Monteiths Merrin Street,"SHOP 4 AVONHEAD SHOPPING CENTRE 210 WITHELLS ROAD
AVONHEAD
CHRISTCHURCH 8004",CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,18
THE SOUTHERN TRUST,RENDEZVOUS ON BARRINGTON,"SHOPS C-D 250 BARRINGTON STREET
SPREYDON
CHRISTCHURCH 8002",CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,18
THE SOUTHERN TRUST,CHATS,"QE II SHOPPING CENTRE 251 TRAVIS ROAD
NEW BRIGHTON NORTH
CHRISTCHURCH 8009",CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,18
THE SOUTHERN TRUST,Horse & Jockey,"8 YALDHURST ROAD
UPPER RICCARTON
CHRISTCHURCH 8041
NEW ZEALAND",CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,18
THE SOUTHERN TRUST,SIDELINE SPORTS BAR,"331 STANMORE ROAD
RICHMOND
CHRISTCHURCH 8001",CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,18
THE SOUTHERN TRUST,THE PEG,"895 MAIN NORTH ROAD
BELFAST
CHRISTCHURCH 8005",CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,18
WOOLSTON CLUB INC,WOOLSTON WORKINGMENS CLUB,"43 HARGOOD STREET
WOOLSTON
CHRISTCHURCH 8062
NEW ZEALAND",CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,18
YOUTHTOWN INCORPORATED,The Final Whistle Sports Bar,"77 STEVENS STREET
PHILLIPSTOWN
CHRISTCHURCH 8011",CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,18
YOUTHTOWN INCORPORATED,MACKENZIES HOTEL,"51 PAGES ROAD
LINWOOD
CHRISTCHURCH 8001",CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,18
YOUTHTOWN INCORPORATED,ROSE AND THISTLE TAVERN,"26 MAIN NORTH ROAD
HOON HAY
CHRISTCHURCH 8025",CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,18
THE TRUSTS COMMUNITY FOUNDATION LIMITED,HOTEL SOUTH OTAGO,"13 CLYDE STREET
BALCLUTHA
OTAGO 9230",CLUTHA DISTRICT,18
AIR RESCUE SERVICES LIMITED,Rope and Twine,"301 KING EDWARD STREET
DUNEDIN CENTRAL
DUNEDIN 9054",DUNEDIN CITY,18
CERT Your Local Gaming Trust Limited,BOG,"387 GEORGE STREET
DUNEDIN CENTRAL
DUNEDIN 9054",DUNEDIN CITY,18
New Zealand Community Trust,Branson's,"91 ST ANDREW STREET
DUNEDIN CENTRAL
DUNEDIN 9054",DUNEDIN CITY,18
THE BENDIGO VALLEY SPORTS AND CHARITY FOUNDATION,CROFTERS ARMS HOTEL,"160 GORDON ROAD
MOSGIEL
DUNEDIN 9032",DUNEDIN CITY,18
THE BENDIGO VALLEY SPORTS AND CHARITY FOUNDATION,VALLEY LODGE HOTEL,"139 KAIKORAI VALLEY ROAD
KAIKORAI
DUNEDIN 9001",DUNEDIN CITY,18
THE BENDIGO VALLEY SPORTS AND CHARITY FOUNDATION,NELLIES HOTEL,"6 GORDON ROAD
MOSGIEL
DUNEDIN 9032",DUNEDIN CITY,18
THE BENDIGO VALLEY SPORTS AND CHARITY FOUNDATION,CABLEWAYS TAVERN,"3 MELLOR STREET
KAIKORAI
DUNEDIN 9001",DUNEDIN CITY,18
THE BENDIGO VALLEY SPORTS AND CHARITY FOUNDATION,ST KILDA'S TAVERN,"2 PRINCE ALBERT ROAD
ST KILDA
DUNEDIN 9012",DUNEDIN CITY,18
THE LION FOUNDATION (2008),LAW COURTS HOTEL,"53-65 STUART STREET
DUNEDIN CENTRAL
DUNEDIN 9054",DUNEDIN CITY,18
THE LION FOUNDATION (2008),MORNINGTON TAVERN,"36 MAILER STREET
MORNINGTON
DUNEDIN 9011",DUNEDIN CITY,18
THE LION FOUNDATION (2008),MITCHELLS TAVERN,"289 SOUTH ROAD
CAVERSHAM
DUNEDIN 9001",DUNEDIN CITY,18
THE SOUTHERN TRUST,WATERLOO HOTEL,"19 RUSKIN TERRACE
KEW
DUNEDIN 9001",DUNEDIN CITY,18
THE SOUTHERN TRUST,HEFF'S HOTEL,"244 KING EDWARD STREET
SOUTH DUNEDIN
DUNEDIN 9001",DUNEDIN CITY,18
FOUR WINDS FOUNDATION LIMITED,KAURI ARMS,"195 COMMERCE STREET
KAITAIA
NORTHLAND 0410",FAR NORTH DISTRICT,18
OXFORD SPORTS TRUST INC,THE HOMESTEAD SPORTS BAR & BISTRO,"7 HOMESTEAD ROAD
KERIKERI
NORTHLAND 0230",FAR NORTH DISTRICT,18
OXFORD SPORTS TRUST INC,MUSSEL ROCK,"75 COMMERCE STREET
KAITAIA
NORTHLAND 0410",FAR NORTH DISTRICT,18
OXFORD SPORTS TRUST INC,THE BANK BAR,"124 BROADWAY
KAIKOHE
NORTHLAND 0405",FAR NORTH DISTRICT,18
OXFORD SPORTS TRUST INC,ROCK SALT BAR AND RESTAURANT,"CORNER KERIKERI AND COBHAM ROADS
KERIKERI
NORTHLAND 0230",FAR NORTH DISTRICT,18
PUB CHARITY LIMITED,COLLARDS SPORTS BAR,"WHANGATANE DRIVE
KAITAIA
NORTHLAND 0410",FAR NORTH DISTRICT,18
PUB CHARITY LIMITED,KLONDIKES SEAFOOD CAFE AND TAVERN,"68 MAIN ROAD
MOEREWA
NORTHLAND 0211",FAR NORTH DISTRICT,18
PUB CHARITY LIMITED,KLONDIKE ALE HOUSE,"5 GILLIES STREET
KAWAKAWA
NORTHLAND 0210",FAR NORTH DISTRICT,18
PUB CHARITY LIMITED,TMO Paihia Sports Bar,"10 Selwyn Road
PAIHIA
NORTHLAND 0200
NEW ZEALAND",FAR NORTH DISTRICT,18
PUB CHARITY LIMITED,MANGONUI HOTEL,"112 WATERFRONT ROAD
MANGONUI
NORTHLAND 0494",FAR NORTH DISTRICT,18
THE LION FOUNDATION (2008),Hunter Star Hotel,"84 GILLIES STREET
KAWAKAWA
NORTHLAND 0210",FAR NORTH DISTRICT,18
COSMOPOLITAN CLUB INCORPORATED,GISBORNE COSMOPOLITAN CLUB INC,"190 DERBY STREET
GISBORNE CENTRAL
GISBORNE 4010",GISBORNE DISTRICT,18
New Zealand Community Trust,Sugar,"90 PEEL STREET
GISBORNE CENTRAL
GISBORNE 4010",GISBORNE DISTRICT,18
New Zealand Community Trust,SHIPWRECK,"335 GLADSTONE ROAD
GISBORNE CENTRAL
GISBORNE 4010",GISBORNE DISTRICT,18
New Zealand Community Trust,Bar 59,"59-61 PEEL STREET
GISBORNE CENTRAL
GISBORNE 4010",GISBORNE DISTRICT,18
New Zealand Community Trust,Mo's Sports Bar & Grill,"63-65 PEEL STREET
GISBORNE CENTRAL
GISBORNE 4010",GISBORNE DISTRICT,18
Racing Industry Transition Agency ,TAB GISBORNE,"43 PEEL STREET
GISBORNE CENTRAL
GISBORNE 4010",GISBORNE DISTRICT,18
GORE DISTRICT MEMORIAL R S A INCORPORATED,GORE DISTRICT MEMORIAL RSA INC,"12 CIVIC AVENUE
GORE
SOUTHLAND 9710
NEW ZEALAND",GORE DISTRICT,18
GORE TOWN & COUNTRY CLUB INC,GORE TOWN & COUNTRY CLUB,"2 BURY STREET
GORE
SOUTHLAND 9700",GORE DISTRICT,18
YOUTHTOWN INCORPORATED,RAILWAY GREYMOUTH,"120 MAWHERA QUAY
GREYMOUTH
GREY DISTRICT 7805",GREY DISTRICT,18
DRAGON COMMUNITY TRUST LIMITED,THE DINSDALE OFFICE,"UNIT 40 DINSDALE SHOPPING CENTRE WHATAWHATA ROAD
HAMILTON CENTRAL
HAMILTON 3204",HAMILTON CITY,18
GRASSROOTS TRUST LIMITED,YARDHOUSE,"GRANDVIEW MALL CORNER GRANDVIEW ROAD & HYDE AVENUE
NAWTON
HAMILTON 3200",HAMILTON CITY,18
GRASSROOTS TRUST LIMITED,EASTSIDE TAVERN,"CORNER COOK AND GREY STREETS
HAMILTON EAST
HAMILTON 3216",HAMILTON CITY,18
GRASSROOTS TRUST LIMITED,BAR 101,"171 Victoria Street
HAMILTON CENTRAL
HAMILTON 3204
NEW ZEALAND",HAMILTON CITY,18
GRASSROOTS TRUST LIMITED,Hillcrest Haven,"276 CAMBRIDGE ROAD
HILLCREST
HAMILTON 3216",HAMILTON CITY,18
GRASSROOTS TRUST LIMITED,THE RIV,"CLYDE STREET SHOPPING CENTRE
HAMILTON CENTRAL
HAMILTON 3204",HAMILTON CITY,18
GRASSROOTS TRUST LIMITED,SMITH & MCKENZIE CHOPHOUSE,"UNIT 1 13 LYNDEN COURT
CHARTWELL
HAMILTON 2001",HAMILTON CITY,18
GRASSROOTS TRUST LIMITED,The Local,"36 BRYANT ROAD
TE RAPA
HAMILTON 3240",HAMILTON CITY,18
GRASSROOTS TRUST LIMITED,The Junction,"165 COMMERCE STREET
FRANKTON
HAMILTON 3204",HAMILTON CITY,18
GRASSROOTS TRUST LIMITED,Lucky Finns,"26-28 HOOD STREET
HAMILTON CENTRAL
HAMILTON 3204",HAMILTON CITY,18
GRASSROOTS TRUST LIMITED,Square Leg,"38A Hood Street
HAMILTON CENTRAL
HAMILTON 3204
NEW ZEALAND",HAMILTON CITY,18
HAMILTON COMBINED RETURNED SERVICES CLUB INCORPORATED,HAMILTON COMBINED RETURNED SERVICES CLUB INCORPORATED,"50 ROSTREVOR STREET
HAMILTON CENTRAL
HAMILTON 3204",HAMILTON CITY,18
HAMILTON WORKINGMENS CLUB INCORPORATED,HAMILTON WORKINGMEN'S CLUB,"20 KING STREET
HAMILTON CENTRAL
HAMILTON 3204",HAMILTON CITY,18
Masse Incorporated,Masse Hamilton,"60-62 ROSTREVOR STREET
HAMILTON CENTRAL
HAMILTON 3204",HAMILTON CITY,18
THE LION FOUNDATION (2008),HILLCREST TAVERN,"1 YORK STREET
CLAUDELANDS
HAMILTON 3214",HAMILTON CITY,18
THE LION FOUNDATION (2008),DINSDALE TAVERN,"140 WHATAWHATA ROAD
DINSDALE
HAMILTON 2001",HAMILTON CITY,18
THE LION FOUNDATION (2008),ALEWAYS HOTEL,"40 HIGH STREET
FRANKTON
HAMILTON 3204",HAMILTON CITY,18
THE LION FOUNDATION (2008),TE RAPA TAVERN,"2 Mainstreet Place
TE RAPA
HAMILTON 3200
NEW ZEALAND",HAMILTON CITY,18
Clubs Hastings Incorporated,THE ELBOWROOM SPORTS BAR,"1001 TOMOANA ROAD
HASTINGS CENTRAL
HAWKES BAY 4201",HASTINGS DISTRICT,18
FIRST LIGHT COMMUNITY FOUNDATION LIMITED,ZABEELS SPORTS BAR,"115 KING STREET
HASTINGS CENTRAL
HAWKES BAY 4201",HASTINGS DISTRICT,18
GRASSROOTS TRUST LIMITED,CRU BAR,"303 EASTBOURNE STREET EAST
HASTINGS CENTRAL
HAWKES BAY 4201",HASTINGS DISTRICT,18
GRASSROOTS TRUST LIMITED,Level 1,"303 EASTBOURNE STREET WEST
HASTINGS CENTRAL
HAWKES BAY 4201",HASTINGS DISTRICT,18
NATIONAL SERVICE CLUB INC,NATIONAL SERVICE CLUB,"MARKET STREET
HASTINGS CENTRAL
HAWKES BAY 4201",HASTINGS DISTRICT,18
New Zealand Community Trust,CLIVE HOTEL,"193 MAIN ROAD
CLIVE
HAWKES BAY 4152",HASTINGS DISTRICT,18
New Zealand Community Trust,TURK'S BAR,"5 NAPIER ROAD
HAVELOCK NORTH
HAWKES BAY 4201",HASTINGS DISTRICT,18
Racing Industry Transition Agency ,TAB STORTFORD LODGE,"1017 HERETAUNGA STREET
HASTINGS CENTRAL
HAWKES BAY 4201",HASTINGS DISTRICT,18
THE LION FOUNDATION (2008),HORSE AND HOUND HASTINGS,"1012 KARAMU ROAD
HASTINGS CENTRAL
HAWKES BAY 4201",HASTINGS DISTRICT,18
TRUST HOUSE FOUNDATION,FLAXMERE TAVERN,"SWANSEA ROAD
FLAXMERE EAST
HAWKES BAY 4201",HASTINGS DISTRICT,18
YOUTHTOWN INCORPORATED,MAGPIES,"116 King Street North
HASTINGS CENTRAL
HAWKES BAY 4122
NEW ZEALAND",HASTINGS DISTRICT,18
One Foundation Limited,COMMERCIAL HOTEL (WAIHI),"SEDDON STREET
WAIHI
WAIKATO 2981",HAURAKI DISTRICT,18
THE AKARANA COMMUNITY TRUST LIMITED,One3one Bar & Kitchen,"131 NORMANBY ROAD
PAEROA
WAIKATO 2951",HAURAKI DISTRICT,18
THE LION FOUNDATION (2008),ROB ROY HOTEL,"CORNER ROSEMONT ROAD AND SEDDON STREET
WAIHI
WAIKATO 2981",HAURAKI DISTRICT,18
AIR RESCUE SERVICES LIMITED,New Oxford Hotel,"289-295 OXFORD STREET
LEVIN
MANAWATU 5500",HOROWHENUA DISTRICT,18
LEVIN COSMOPOLITAN CLUB INC,LEVIN COSMOPOLITAN CLUB,"47-51 OXFORD STREET SOUTH
LEVIN
MANAWATU 5500",HOROWHENUA DISTRICT,18
One Foundation Limited,LEVIN SPORTS BAR,"19 QUEEN STREET WEST
LEVIN
MANAWATU 5500",HOROWHENUA DISTRICT,18
One Foundation Limited,Tonys Place,"53 OXFORD STREET
LEVIN
MANAWATU 5500",HOROWHENUA DISTRICT,18
PELORUS TRUST,FATBOYZ BAR COBB AND CO,"CORNER DURHAM AND OXFORD STREETS
LEVIN
MANAWATU 5500",HOROWHENUA DISTRICT,18
PELORUS TRUST,MANAWATU HOTEL,"1 AVENUE ROAD
FOXTON
MANAWATU 5551",HOROWHENUA DISTRICT,18
THE SOUTHERN TRUST,O'MALLEY'S BAR,"102 OXFORD STREET
LEVIN
MANAWATU 5500",HOROWHENUA DISTRICT,18
ILT FOUNDATION,WAIKIWI TAVERN,"181 North Road
WAIKIWI
INVERCARGILL 9810
NEW ZEALAND",INVERCARGILL CITY,18
ILT FOUNDATION,NORTHERN TAVERN,"CORNER SYDNEY AND ST ANDREW STREETS
GLENGARRY
INVERCARGILL 9501",INVERCARGILL CITY,18
ILT FOUNDATION,SOUTHLAND TAVERN,"CORNER ELLES ROAD AND MCQUARRIE STREET
STRATHERN
INVERCARGILL 9812",INVERCARGILL CITY,18
ILT FOUNDATION,HOMESTEAD,"303 DEE STREET
INVERCARGILL CENTRAL
INVERCARGILL 9501",INVERCARGILL CITY,18
ILT FOUNDATION,KELVIN HOTEL,"18 KELVIN STREET
INVERCARGILL CENTRAL
INVERCARGILL 9501",INVERCARGILL CITY,18
ILT FOUNDATION,ASCOT PARK MOTOR HOTEL,"41 RACECOURSE ROAD
HAWTHORNDALE
INVERCARGILL 9501",INVERCARGILL CITY,18
ILT FOUNDATION,NEWFIELD TAVERN,"CENTRE STREET
NEWFIELD
INVERCARGILL 9501",INVERCARGILL CITY,18
ILT FOUNDATION,GLENGARRY TAVERN AKA EASTERN SUBURBS TAVERN,"61 GLENGARRY CRESCENT
GLENGARRY
INVERCARGILL 9501",INVERCARGILL CITY,18
THE SOUTHERN TRUST,GLASINE CAFE,"257 ELLES ROAD
RICHMOND
INVERCARGILL 9501",INVERCARGILL CITY,18
PUB CHARITY LIMITED,NORTHERN WAIROA HOTEL,"70 VICTORIA STREET
DARGAVILLE
NORTHLAND 0310",KAIPARA DISTRICT,18
AIR RESCUE SERVICES LIMITED,THE PINETREE ARMS,"CORNER MACLEAN STREET AND SEAVIEW ROAD
PARAPARAUMU
KAPITI COAST 5254",KAPITI COAST DISTRICT,18
New Zealand Community Trust,THE RAILWAY HOTEL,"6 ARTHUR STREET
OTAKI
KAPITI COAST 5560",KAPITI COAST DISTRICT,18
New Zealand Community Trust,The Jolly Pub & Kitchen,"93 MAZENGARB ROAD
PARAPARAUMU
KAPITI COAST 5254",KAPITI COAST DISTRICT,18
OTAKI & DISTRICT MEMORIAL RSA INCORPORATED ,OTAKI RSA CLUBROOMS,"9 RAUKAWA STREET
OTAKI
KAPITI COAST 5512
NEW ZEALAND",KAPITI COAST DISTRICT,18
THE LION FOUNDATION (2008),BOUNDARY TAP & KITCHEN,"3 RAUMATI ROAD
RAUMATI
KAPITI COAST 6010",KAPITI COAST DISTRICT,18
THE LION FOUNDATION (2008),Black Stag Pub,"AMOHIA STREET
PARAPARAUMU
KAPITI COAST 5254",KAPITI COAST DISTRICT,18
WAIKANAE CHARTERED CLUB INC,WAIKANAE CHARTERED CLUB,"8 ELIZABETH STREET
WAIKANAE
KAPITI COAST 6010",KAPITI COAST DISTRICT,18
New Zealand Community Trust,KAWERAU HOTEL,"PLUNKET STREET
KAWERAU
BAY OF PLENTY 3075",KAWERAU DISTRICT,18
THE LION FOUNDATION (2008),CAYMAN SPORTS BAR,"10 JELLICOE COURT
KAWERAU
BAY OF PLENTY 3075",KAWERAU DISTRICT,18
AIR RESCUE SERVICES LIMITED,BEDROCKS BAR & BRASSERIE,"3 WATERLOO ROAD
LOWER HUTT CENTRAL
LOWER HUTT 5010",LOWER HUTT CITY,18
AIR RESCUE SERVICES LIMITED,NAENAE HOTEL,"5 VOGEL STREET
NAENAE
LOWER HUTT 6009",LOWER HUTT CITY,18
AIR RESCUE SERVICES LIMITED,Butcher & Brewer,"175 JACKSON STREET
PETONE
LOWER HUTT 5012",LOWER HUTT CITY,18
FOUR WINDS FOUNDATION LIMITED,HARDWARE BAR & CAFE,"8-14 EVANS STREET
STOKES VALLEY
LOWER HUTT 5019",LOWER HUTT CITY,18
FOUR WINDS FOUNDATION LIMITED,FITZROY HOTEL,"THE STRAND
WAINUIOMATA
LOWER HUTT 5014",LOWER HUTT CITY,18
FOUR WINDS FOUNDATION LIMITED,HUTT PARK HOTEL,"9-11 RANDWICK ROAD
LOWER HUTT CENTRAL
LOWER HUTT 5010",LOWER HUTT CITY,18
FOUR WINDS FOUNDATION LIMITED,Sin Bin,"BUILDING 1 499-509 HUTT ROAD
LOWER HUTT CENTRAL
LOWER HUTT 5010",LOWER HUTT CITY,18
New Zealand Community Trust,HORSE & HOUND BAR PETONE,"219 JACKSON STREET
PETONE
LOWER HUTT 5012",LOWER HUTT CITY,18
One Foundation Limited,EDDY'S BAR & CAFE,"13 QUEEN STREET
WAINUIOMATA
LOWER HUTT 5014",LOWER HUTT CITY,18
One Foundation Limited,PALLISER HOTEL,"MOORES VALLEY ROAD
WAINUIOMATA
LOWER HUTT 5014",LOWER HUTT CITY,18
One Foundation Limited,Roadhouse Bar and Grill,"CORNER LAINGS ROAD AND QUEENS DRIVE
LOWER HUTT CENTRAL
LOWER HUTT 5010",LOWER HUTT CITY,18
One Foundation Limited,OLYMPIC HOTEL,"CORNER HORLOR STREET AND HOLLAND CRESCENT
NAENAE
LOWER HUTT 6009",LOWER HUTT CITY,18
One Foundation Limited,PETONE SPORTS BAR,"266 JACKSON STREET
PETONE
LOWER HUTT 5012",LOWER HUTT CITY,18
PELORUS TRUST,THE BIG CHILL,"181-184 HIGH STREET
LOWER HUTT CENTRAL
LOWER HUTT 5010",LOWER HUTT CITY,18
PELORUS TRUST,BELLEVUE GARDENS HOTEL,"140 WOBURN ROAD
WOBURN
LOWER HUTT 6009",LOWER HUTT CITY,18
PUB CHARITY LIMITED,BJ'S,"25 TOCKER STREET
TAITA
LOWER HUTT 5011",LOWER HUTT CITY,18
PUB CHARITY LIMITED,ANGUS INN HOTEL,"WATERLOO ROAD
LOWER HUTT CENTRAL
LOWER HUTT 5010",LOWER HUTT CITY,18
New Zealand Community Trust,THE EMPIRE HOTEL,"8 STAFFORD STREET
FEILDING
MANAWATU 5600",MANAWATU DISTRICT,18
New Zealand Community Trust,DROVER'S RETURN BAR & CAFE,"93 MANCHESTER STREET
FEILDING
MANAWATU 5600",MANAWATU DISTRICT,18
New Zealand Community Trust,FEILDING HOTEL,"9 MANCHESTER SQUARE
FEILDING
MANAWATU 5600",MANAWATU DISTRICT,18
TRILLIAN TRUST,Stockyard Bar and Restaurant,"50 MANCHESTER STREET
FEILDING
MANAWATU 5600",MANAWATU DISTRICT,18
AIR RESCUE SERVICES LIMITED,CRITERION HOTEL (BLENHEIM),"2 MARKET STREET
BLENHEIM
MARLBOROUGH 7273",MARLBOROUGH DISTRICT,18
PELORUS TRUST,Waterfront Bar & Grill,"7 GROVE ROAD
BLENHEIM
MARLBOROUGH 7273",MARLBOROUGH DISTRICT,18
PELORUS TRUST,GROVE TAVERN,"77 GROVE ROAD
BLENHEIM
MARLBOROUGH 7273",MARLBOROUGH DISTRICT,18
PUB CHARITY LIMITED,MIKEY'S BAR,"12-18 HIGH STREET
PICTON
MARLBOROUGH 7220
NEW ZEALAND",MARLBOROUGH DISTRICT,18
PUB CHARITY LIMITED,SPRINGLANDS TAVERN,"16 BOYCE STREET
BLENHEIM
MARLBOROUGH 7273",MARLBOROUGH DISTRICT,18
REDWOOD TRUST INCORPORATED,REDWOOD TAVERN,"70 CLEGHORN STREET
BLENHEIM
MARLBOROUGH 7273",MARLBOROUGH DISTRICT,18
TRUST HOUSE FOUNDATION,Jackson Street Bar,"20 JACKSON STREET
MASTERTON
MASTERTON DISTRICT 5840",MASTERTON DISTRICT,18
TRUST HOUSE FOUNDATION,KURIPUNI TAVERN,"QUEEN STREET SOUTH
MASTERTON
MASTERTON DISTRICT 5840",MASTERTON DISTRICT,18
TRUST HOUSE FOUNDATION,The Farriers,"4 QUEEN STREET
MASTERTON
MASTERTON DISTRICT 5840",MASTERTON DISTRICT,18
GRASSROOTS TRUST LIMITED,PALACE HOTEL,"WHITTAKER STREET
TE AROHA
WAIKATO 3320",MATAMATA-PIAKO DISTRICT,18
MATAMATA CLUB INCORPORATED,MATAMATA CLUB INCORPORATED,"WAHAROA ROAD EAST
MATAMATA
WAIKATO 2271",MATAMATA-PIAKO DISTRICT,18
New Zealand Community Trust,TRAC SPORTS BAR,"38 BROADWAY
MATAMATA
WAIKATO 2271",MATAMATA-PIAKO DISTRICT,18
THE LION FOUNDATION (2008),NOTTINGHAM CASTLE HOTEL,"CORNER THAMES AND STUDHOLME STREETS
MORRINSVILLE
WAIKATO 2251",MATAMATA-PIAKO DISTRICT,18
THE LION FOUNDATION (2008),HORSE & JOCKEY,"81 ARAWA STREET
MATAMATA
WAIKATO 2271",MATAMATA-PIAKO DISTRICT,18
GRASSROOTS TRUST LIMITED,Bev Ridges On York,"1 DURHAM AVENUE
TAMATEA
NAPIER 4001",NAPIER CITY,18
Napier RSA Incorporated,NAPIER RSA,"34 VAUTIER STREET
NAPIER CITY
NAPIER 4001",NAPIER CITY,18
New Zealand Community Trust,The Water Bar,"10 WEST QUAY
AHURIRI
NAPIER 4110",NAPIER CITY,18
One Foundation Limited,TARADALE TAVERN,"367 GLOUCESTER STREET
TARADALE
NAPIER 4001",NAPIER CITY,18
PUB CHARITY LIMITED,SIDELINE BAR,"110 TARADALE ROAD
ONEKAWA
NAPIER 4001",NAPIER CITY,18
PUB CHARITY LIMITED,THE DUKE OF GLOUCESTER,"389 GLOUCESTER STREET
TARADALE
NAPIER 4001",NAPIER CITY,18
PUB CHARITY LIMITED,THE STATION,"154 STATION STREET
MAREWA
NAPIER 4001",NAPIER CITY,18
Racing Industry Transition Agency ,TAB Napier,"7 CLIVE SQUARE WEST
NAPIER CITY
NAPIER 4110
NEW ZEALAND",NAPIER CITY,18
TARADALE & DISTRICT R S A INC,TARADALE AND DISTRICT RSA,"156 GLOUCESTER STREET
TARADALE
NAPIER 4001",NAPIER CITY,18
TARADALE COMMUNITY & SPORTS CLUB INCORPORATED,TARADALE CLUB,"55 WHARERANGI ROAD
GREENMEADOWS
NAPIER 4001",NAPIER CITY,18
THE NORTH AND SOUTH TRUST LIMITED,GOLDEN CHANCE,"6 BLEDISLOE ROAD
MARAENUI
NAPIER 4001",NAPIER CITY,18
YOUTHTOWN INCORPORATED,THE WINDSOCK,"18 HASTINGS STREET
MAREWA
NAPIER 4001",NAPIER CITY,18
AIR RESCUE SERVICES LIMITED,HARDYS BAR,"135 HARDY STREET
NELSON CENTRAL
NELSON 7001",NELSON CITY,18
MAINLAND FOUNDATION LIMITED,TURF HOTEL,"228 SONGER STREET
STOKE
NELSON 7001",NELSON CITY,18
New Zealand Community Trust,OCEAN LODGE HOTEL,"33 BEACH ROAD
TAHUNANUI
NELSON 7001",NELSON CITY,18
THE LION FOUNDATION (2008),623 IN THE CITY,"221 HARDY STREET
NELSON CENTRAL
NELSON 7001",NELSON CITY,18
THE LION FOUNDATION (2008),WAKATU HOTEL,"83 COLLINGWOOD STREET
NELSON CENTRAL
NELSON 7001",NELSON CITY,18
NEW PLYMOUTH CLUB INC,NEW PLYMOUTH CLUB,"53-57 GILL STREET
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310",NEW PLYMOUTH DISTRICT,18
New Zealand Community Trust,COBB & CO NEW PLYMOUTH,"198 COURTENAY STREET
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310",NEW PLYMOUTH DISTRICT,18
New Zealand Community Trust,THE SALTY DOG CAFE & BAR,"493-497 ST AUBYN STREET
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310",NEW PLYMOUTH DISTRICT,18
New Zealand Community Trust,ICON'S STADIUM BAR,"CORNER BROUGHAM AND ARIKI STREETS
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310",NEW PLYMOUTH DISTRICT,18
New Zealand Community Trust,TREEHOUSE BAR & BISTRO,"463-471 DEVON STREET WEST
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310",NEW PLYMOUTH DISTRICT,18
PELORUS TRUST,SPORTY'S CAFE/BAR,"50 SACKVILLE STREET
FITZROY
NEW PLYMOUTH 4601",NEW PLYMOUTH DISTRICT,18
THE LION FOUNDATION (2008),CINEMA EXPRESS CAFE AND BAR,"125 DEVON STREET
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310",NEW PLYMOUTH DISTRICT,18
THE SOUTHERN TRUST,THE MASONIC HOTEL,"9 MCLEAN STREET
WAITARA
TARANAKI 4320",NEW PLYMOUTH DISTRICT,18
THE SOUTHERN TRUST,PEGGY GORDONS,"58 EGMONT STREET
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310",NEW PLYMOUTH DISTRICT,18
OTOROHANGA CLUB (INCORPORATED),OTOROHANGA WORKINGMEN'S CLUB,"107 MANIAPOTO STREET
OTOROHANGA
WAIKATO 3900",OTOROHANGA DISTRICT,18
AIR RESCUE SERVICES LIMITED,Sportsman's Bar,"217-223 FEATHERSTON STREET
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301",PALMERSTON NORTH CITY,18
MAINLAND FOUNDATION LIMITED,THE COBB,"522-532 MAIN STREET EAST
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301",PALMERSTON NORTH CITY,18
