SOCIETY_NAME,VENUE_NAME,VENUE_PHYSICAL_ADDRESS,TERRITORIAL_AUTHORITY,COUNT_OF_EGM
PUB CHARITY LIMITED,COLLINGWOOD TAVERN,"TASMAN STREET
COLLINGWOOD
TASMAN DISTRICT 7171",TASMAN DISTRICT,4
New Zealand Community Trust,ROYAL OAK HOTEL,"MAIN ROAD RD5
COROMANDEL
WAIKATO 2851",THAMES-COROMANDEL DISTRICT,4
THAMES BOWLING CLUB INCORPORATED,THAMES BOWLING CLUB INCORPORATED,"COURT STREET
THAMES
WAIKATO 2801",THAMES-COROMANDEL DISTRICT,4
TRUST AORAKI LIMITED,KUROW HOTEL,"55 BLEDISLOE STREET
KUROW
NORTH OTAGO 9435",WAITAKI DISTRICT,4
THE LION FOUNDATION (2008),HINDS TAVERN,"STATE HIGHWAY 1
HINDS
CANTERBURY 8351",ASHBURTON DISTRICT,3
PUB CHARITY LIMITED,RIPPLE CAFE ON THE MARINA 1998,"621 LAURIE SOUTHWICK PARADE
GULF HARBOUR
RODNEY DISTRICT 1463",Auckland Council - Hibiscus and Bays,3
THE BENDIGO VALLEY SPORTS AND CHARITY FOUNDATION,OMAKAU COMMERCIAL HOTEL,"1 HARVEY STREET
OMAKAU
OTAGO 9182",CENTRAL OTAGO DISTRICT,3
PUB CHARITY LIMITED,WAIHOLA CAFE & BAR,"GREENWICH STREET
WAIHOLA
CLUTHA
OTAGO 9073
NEW ZEALAND",CLUTHA DISTRICT,3
THE TRUSTS COMMUNITY FOUNDATION LIMITED,The Crescent Bar & Grill,"CLYDE TERRACE
KAITANGATA
OTAGO 9200",CLUTHA DISTRICT,3
RUAWAI BOWLING CLUB INC,RUAWAI BOWLING CLUB,"2 Reeves Street
RUAWAI
NORTHLAND 0530
NEW ZEALAND",KAIPARA DISTRICT,3
PUB CHARITY LIMITED,TROUT HOTEL,"MAIN ROAD
CANVASTOWN
MARLBOROUGH 7154",MARLBOROUGH DISTRICT,3
TITAHI BAY BOWLING CLUB INC,TITAHI BAY BOWLING CLUB,"13A TIRETI ROAD
TITAHI BAY
PORIRUA 6006",PORIRUA CITY,3
THE LION FOUNDATION (2008),FITZPATRICK'S IRISH PUB,"59 BROWNSTON STREET
WANAKA
OTAGO 9305",QUEENSTOWN-LAKES DISTRICT,3
THE LION FOUNDATION (2008),STATION HOTEL,"22-24 HIGH STREET
HUNTERVILLE
MANAWATU 5455",RANGITIKEI DISTRICT,3
PUB CHARITY LIMITED,COALGATE TAVERN,"8-12 BRIDGE STREET
COALGATE
CANTERBURY 8171",SELWYN DISTRICT,3
THE TRUSTS COMMUNITY FOUNDATION LIMITED,PIONEER TAVERN,"14 FERRY ROAD
EDENDALE
SOUTHLAND 9690",SOUTHLAND DISTRICT,3
TRUST AORAKI LIMITED,Queens Hotel,"2 BARNARD STREET
TIMARU
TIMARU 7910",TIMARU DISTRICT,3
UPPER HUTT CLUB INC,UPPER HUTT CLUB,"LYSTER LANE
UPPER HUTT CENTRAL
UPPER HUTT 6007",UPPER HUTT CITY,3
TRUST AORAKI LIMITED,Makikihi Country Hotel,"36 Main South Road
Makikihi
RD 8
WAIMATE
SOUTH CANTERBURY 7978
NEW ZEALAND",WAIMATE DISTRICT,3
New Zealand Community Trust,Boots & Jandals Hotel,"STATE HIGHWAY 8
OMARAMA
NORTH OTAGO 8950",WAITAKI DISTRICT,3
ISLAND BAY SERVICES CLUB INC,ISLAND BAY SERVICES CLUB,"2 THE PARADE
ISLAND BAY
WELLINGTON 6002",WELLINGTON CITY,3
New Zealand Community Trust,BACKBENCHER PUB & CAFE,"34 MOLESWORTH STREET
THORNDON
WELLINGTON 6144",WELLINGTON CITY,3
THE SOUTHERN TRUST,FOX GLACIER HOTEL,"11 COOK FLAT ROAD
FOX GLACIER
WESTLAND 7859",WESTLAND DISTRICT,3
PUB CHARITY LIMITED,POROTI TAVERN,"MANGAKAHIA ROAD
WHANGAREI CENTRAL
NORTHLAND 0110",WHANGAREI DISTRICT,3
New Zealand Community Trust,HOTEL CHATHAMS,"WHARF ROAD
CHATHAM ISLANDS
CANTERBURY 8030",CHATHAM ISLANDS DISTRICT,2
PUB CHARITY LIMITED,HERIOT HOTEL,"ROXBURGH STREET
HERIOT
OTAGO 9155",CLUTHA DISTRICT,2
THE TRUSTS COMMUNITY FOUNDATION LIMITED,OAK TREE INN,"GORGE ROAD
CLINTON
OTAGO 9252",CLUTHA DISTRICT,2
PUB CHARITY LIMITED,WAIAU LODGE HOTEL,"18 LYNDON PLACE
WAIAU
CANTERBURY 8275",HURUNUI DISTRICT,2
THE TRUSTS COMMUNITY FOUNDATION LIMITED,TOKANUI TAVERN,"MCEWAN STREET
TOKANUI
SOUTHLAND 9671",SOUTHLAND DISTRICT,2
DRAGON COMMUNITY TRUST LIMITED,WANDERERS BAR EAST TAMAKI,"265 EAST TAMAKI ROAD
EAST TAMAKI
MANUKAU 1701",AUCKLAND COUNCIL - OTARA - PAPATOETOE,0
New Zealand Community Trust,TREVINOS RESTAURANT & BAR,"22A RICCARTON ROAD
RICCARTON
CHRISTCHURCH 8041",CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,0
Wanganui Returned Services Inc,WANGANUI RSA,"170 ST HILL STREET
WANGANUI
WANGANUI DISTRICT 4540",WANGANUI DISTRICT,0
